INFO 2025-05-26 17:17:32,523 autoreload 34 139703003597696 Watching for file changes with StatReloader
WARNING 2025-05-26 17:17:55,517 log 34 139702468343488 Not Found: /
WARNING 2025-05-26 17:17:55,518 basehttp 34 139702468343488 "GET / HTTP/1.1" 404 3609
INFO 2025-05-26 17:18:01,460 basehttp 34 139702468343488 "GET /swagger HTTP/1.1" 301 0
INFO 2025-05-26 17:18:01,494 basehttp 34 139702468343488 "GET /swagger/ HTTP/1.1" 200 4673
INFO 2025-05-26 17:18:03,316 basehttp 34 139702468343488 "GET /schema/ HTTP/1.1" 200 210511
INFO 2025-05-26 17:18:21,114 basehttp 34 139702468343488 "GET /admin HTTP/1.1" 301 0
INFO 2025-05-26 17:18:21,261 basehttp 34 139702468343488 "GET /admin/ HTTP/1.1" 302 0
INFO 2025-05-26 17:18:21,346 basehttp 34 139702468343488 "GET /admin/login/?next=/admin/ HTTP/1.1" 200 4160
INFO 2025-05-26 17:18:21,582 basehttp 34 139702453913280 "GET /static/admin/css/dark_mode.css HTTP/1.1" 200 2804
INFO 2025-05-26 17:18:21,583 basehttp 34 139702437127872 "GET /static/admin/css/login.css HTTP/1.1" 200 951
INFO 2025-05-26 17:18:21,583 basehttp 34 139702445520576 "GET /static/admin/js/theme.js HTTP/1.1" 200 1653
INFO 2025-05-26 17:18:21,583 basehttp 34 139702420342464 "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 200 3063
INFO 2025-05-26 17:18:21,584 basehttp 34 139702428735168 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 200 2810
INFO 2025-05-26 17:18:21,589 basehttp 34 139702468343488 "GET /static/admin/css/base.css HTTP/1.1" 200 22092
INFO 2025-05-26 17:18:21,597 basehttp 34 139702420342464 "GET /static/admin/css/responsive.css HTTP/1.1" 200 17972
INFO 2025-05-26 17:18:29,590 basehttp 34 139702468343488 "POST /admin/login/?next=/admin/ HTTP/1.1" 302 0
INFO 2025-05-26 17:18:29,610 basehttp 34 139702468343488 "GET /admin/ HTTP/1.1" 302 0
INFO 2025-05-26 17:18:29,702 basehttp 34 139702468343488 "GET /admin/login/?next=/admin/ HTTP/1.1" 200 4160
WARNING 2025-05-26 17:24:04,500 log 34 139702468343488 Not Found: /books/list
WARNING 2025-05-26 17:24:04,505 basehttp 34 139702468343488 "GET /books/list HTTP/1.1" 404 3657
INFO 2025-05-26 17:24:12,872 basehttp 34 139702468343488 "GET /api/books/list HTTP/1.1" 301 0
WARNING 2025-05-26 17:24:12,923 log 34 139702468343488 Unauthorized: /api/books/list/
WARNING 2025-05-26 17:24:12,926 basehttp 34 139702468343488 "GET /api/books/list/ HTTP/1.1" 401 9866
INFO 2025-05-26 17:24:13,173 basehttp 34 139702437127872 "GET /static/rest_framework/css/bootstrap-tweaks.css HTTP/1.1" 200 3426
INFO 2025-05-26 17:24:13,178 basehttp 34 139702428735168 "GET /static/rest_framework/css/prettify.css HTTP/1.1" 200 817
INFO 2025-05-26 17:24:13,183 basehttp 34 139702453913280 "GET /static/rest_framework/css/default.css HTTP/1.1" 200 1152
INFO 2025-05-26 17:24:13,184 basehttp 34 139702420342464 "GET /static/rest_framework/js/ajax-form.js HTTP/1.1" 200 3796
INFO 2025-05-26 17:24:13,186 basehttp 34 139702437127872 "GET /static/rest_framework/js/csrf.js HTTP/1.1" 200 1793
INFO 2025-05-26 17:24:13,205 basehttp 34 139702420342464 "GET /static/rest_framework/js/default.js HTTP/1.1" 200 1268
INFO 2025-05-26 17:24:13,206 basehttp 34 139702437127872 "GET /static/rest_framework/js/load-ajax-form.js HTTP/1.1" 200 59
INFO 2025-05-26 17:24:13,209 basehttp 34 139702453913280 "GET /static/rest_framework/js/prettify-min.js HTTP/1.1" 200 13632
INFO 2025-05-26 17:24:13,211 basehttp 34 139702445520576 "GET /static/rest_framework/js/jquery-3.7.1.min.js HTTP/1.1" 200 87533
INFO 2025-05-26 17:24:13,223 basehttp 34 139702428735168 "GET /static/rest_framework/js/bootstrap.min.js HTTP/1.1" 200 39680
INFO 2025-05-26 17:24:13,227 basehttp 34 139702468343488 "GET /static/rest_framework/css/bootstrap.min.css HTTP/1.1" 200 121457
INFO 2025-05-26 17:24:13,309 basehttp 34 139702468343488 "GET /static/rest_framework/img/grid.png HTTP/1.1" 200 1458
WARNING 2025-05-26 17:25:16,529 log 34 139702468343488 Unauthorized: /api/books/authors/
WARNING 2025-05-26 17:25:16,531 basehttp 34 139702468343488 "GET /api/books/authors/ HTTP/1.1" 401 9893
WARNING 2025-05-26 17:25:57,649 log 34 139702410901184 Unauthorized: /api/users/register/
WARNING 2025-05-26 17:25:57,652 basehttp 34 139702410901184 "POST /api/users/register/ HTTP/1.1" 401 172
INFO 2025-05-26 17:26:26,720 basehttp 34 139702410901184 "POST /api/users/register/ HTTP/1.1" 201 659
WARNING 2025-05-26 17:26:33,404 log 34 139702410901184 Not Found: /api/v1/users/login/
WARNING 2025-05-26 17:26:33,414 basehttp 34 139702410901184 "POST /api/v1/users/login/ HTTP/1.1" 404 3685
INFO 2025-05-26 17:26:38,540 basehttp 34 139702410901184 "POST /api/users/login/ HTTP/1.1" 200 659
INFO 2025-05-26 17:26:51,085 basehttp 34 139702410901184 "GET /api/books/authors/ HTTP/1.1" 200 2
INFO 2025-05-26 17:27:11,923 basehttp 34 139702410901184 "GET /api/notifications/ HTTP/1.1" 200 2
WARNING 2025-05-26 17:27:23,292 log 34 139702410901184 Not Found: /api/books/notifications/
WARNING 2025-05-26 17:27:23,295 basehttp 34 139702410901184 "GET /api/books/notifications/ HTTP/1.1" 404 17800
INFO 2025-05-26 17:27:27,411 basehttp 34 139702410901184 "GET /api/notifications/ HTTP/1.1" 200 2
INFO 2025-05-26 17:27:42,641 basehttp 34 139702410901184 "GET /api/books/list HTTP/1.1" 301 0
INFO 2025-05-26 17:27:42,705 basehttp 34 139702410901184 "GET /api/books/list/ HTTP/1.1" 200 2
INFO 2025-05-26 17:27:44,431 basehttp 34 139702410901184 "GET /api/books/list/ HTTP/1.1" 200 2
INFO 2025-05-26 17:36:00,277 basehttp 34 139702468343488 "GET /admin/ HTTP/1.1" 302 0
INFO 2025-05-26 17:36:00,374 basehttp 34 139702468343488 "GET /admin/login/?next=/admin/ HTTP/1.1" 200 4160
INFO 2025-05-26 17:36:00,633 basehttp 34 139702468343488 "GET /static/admin/css/base.css HTTP/1.1" 304 0
INFO 2025-05-26 17:36:00,636 basehttp 34 139702437127872 "GET /static/admin/css/dark_mode.css HTTP/1.1" 304 0
INFO 2025-05-26 17:36:00,639 basehttp 34 139702445520576 "GET /static/admin/js/theme.js HTTP/1.1" 304 0
INFO 2025-05-26 17:36:00,653 basehttp 34 139702453913280 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 304 0
INFO 2025-05-26 17:36:00,653 basehttp 34 139702425585344 "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 304 0
INFO 2025-05-26 17:36:00,654 basehttp 34 139702468343488 "GET /static/admin/css/responsive.css HTTP/1.1" 304 0
INFO 2025-05-26 17:36:00,656 basehttp 34 139701931472576 "GET /static/admin/css/login.css HTTP/1.1" 304 0
INFO 2025-05-26 17:36:11,240 basehttp 34 139702468343488 "POST /admin/login/?next=/admin/ HTTP/1.1" 200 4321
INFO 2025-05-26 17:37:12,366 basehttp 34 139702468343488 "POST /admin/login/?next=/admin/ HTTP/1.1" 302 0
INFO 2025-05-26 17:37:12,401 basehttp 34 139702468343488 "GET /admin/ HTTP/1.1" 302 0
INFO 2025-05-26 17:37:12,482 basehttp 34 139702468343488 "GET /admin/login/?next=/admin/ HTTP/1.1" 200 4160
INFO 2025-05-26 17:52:09,847 autoreload 35 140026587159424 Watching for file changes with StatReloader
INFO 2025-05-26 17:52:42,152 basehttp 35 140026057709248 "GET /admin/login/?next=/admin/ HTTP/1.1" 200 4160
INFO 2025-05-26 17:52:42,392 basehttp 35 140026057709248 "GET /static/admin/css/base.css HTTP/1.1" 304 0
INFO 2025-05-26 17:52:42,392 basehttp 35 140026047219392 "GET /static/admin/css/dark_mode.css HTTP/1.1" 304 0
INFO 2025-05-26 17:52:42,397 basehttp 35 140026057709248 "GET /static/admin/js/theme.js HTTP/1.1" 304 0
INFO 2025-05-26 17:52:42,404 basehttp 35 140026047219392 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 304 0
INFO 2025-05-26 17:52:42,414 basehttp 35 140026030433984 "GET /static/admin/css/responsive.css HTTP/1.1" 304 0
INFO 2025-05-26 17:52:42,416 basehttp 35 140026038826688 "GET /static/admin/css/login.css HTTP/1.1" 304 0
INFO 2025-05-26 17:52:42,417 basehttp 35 140026022041280 "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 304 0
INFO 2025-05-26 17:52:51,144 basehttp 35 140026057709248 "POST /admin/login/?next=/admin/ HTTP/1.1" 302 0
INFO 2025-05-26 17:52:51,171 basehttp 35 140026057709248 "GET /admin/ HTTP/1.1" 302 0
INFO 2025-05-26 17:52:51,237 basehttp 35 140026057709248 "GET /admin/login/?next=/admin/ HTTP/1.1" 200 4160
INFO 2025-05-26 17:54:23,680 basehttp 35 140026057709248 "GET /admin/login/?next=/admin/ HTTP/1.1" 200 4160
INFO 2025-05-26 17:54:31,486 basehttp 35 140026057709248 "POST /admin/login/?next=/admin/ HTTP/1.1" 302 0
INFO 2025-05-26 17:54:31,517 basehttp 35 140026057709248 "GET /admin/ HTTP/1.1" 302 0
INFO 2025-05-26 17:54:31,639 basehttp 35 140026057709248 "GET /admin/login/?next=/admin/ HTTP/1.1" 200 4160
INFO 2025-05-26 17:59:28,246 autoreload 34 139897166371712 Watching for file changes with StatReloader
INFO 2025-05-26 18:08:14,413 basehttp 34 139896704108224 "GET /admin/login/?next=/admin/ HTTP/1.1" 200 4160
INFO 2025-05-26 18:08:14,628 basehttp 34 139896704108224 "GET /static/admin/css/base.css HTTP/1.1" 304 0
INFO 2025-05-26 18:08:14,632 basehttp 34 139896704108224 "GET /static/admin/css/dark_mode.css HTTP/1.1" 304 0
INFO 2025-05-26 18:08:14,644 basehttp 34 139896480069312 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 304 0
INFO 2025-05-26 18:08:14,644 basehttp 34 139896692569792 "GET /static/admin/js/theme.js HTTP/1.1" 304 0
INFO 2025-05-26 18:08:14,650 basehttp 34 139896463283904 "GET /static/admin/css/login.css HTTP/1.1" 304 0
INFO 2025-05-26 18:08:14,652 basehttp 34 139896454891200 "GET /static/admin/css/responsive.css HTTP/1.1" 304 0
INFO 2025-05-26 18:08:14,652 basehttp 34 139896471676608 "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 304 0
INFO 2025-05-26 18:08:20,336 basehttp 34 139896704108224 "POST /admin/login/?next=/admin/ HTTP/1.1" 302 0
INFO 2025-05-26 18:08:20,358 basehttp 34 139896704108224 "GET /admin/ HTTP/1.1" 302 0
INFO 2025-05-26 18:08:20,442 basehttp 34 139896704108224 "GET /admin/login/?next=/admin/ HTTP/1.1" 200 4160
WARNING 2025-05-26 18:49:35,412 log 34 139896704108224 Unauthorized: /api/books/list/
WARNING 2025-05-26 18:49:35,434 basehttp 34 139896704108224 "GET /api/books/list/ HTTP/1.1" 401 172
WARNING 2025-05-26 18:49:41,494 log 34 139896704108224 Not Found: /api/v1/users/token/refresh/
WARNING 2025-05-26 18:49:41,495 basehttp 34 139896704108224 "POST /api/v1/users/token/refresh/ HTTP/1.1" 404 3709
INFO 2025-05-26 18:49:51,516 basehttp 34 139896704108224 "POST /api/users/token/refresh/ HTTP/1.1" 200 334
INFO 2025-05-26 18:49:56,481 basehttp 34 139896704108224 "GET /api/books/list/ HTTP/1.1" 200 2
INFO 2025-05-26 18:50:06,192 basehttp 34 139896704108224 "GET /api/books/list/ HTTP/1.1" 200 2
INFO 2025-05-26 19:10:37,703 autoreload 34 139873630497664 Watching for file changes with StatReloader
INFO 2025-05-26 19:10:44,950 basehttp 34 139873159812800 "GET /api/books/list/ HTTP/1.1" 200 135660
WARNING 2025-05-26 19:11:01,939 log 34 139873159812800 Bad Request: /api/books/search/
WARNING 2025-05-26 19:11:01,941 basehttp 34 139873159812800 "GET /api/books/search/ HTTP/1.1" 400 52
INFO 2025-05-26 19:11:21,501 basehttp 34 139873159812800 "GET /api/books/search?q=supernatural HTTP/1.1" 301 0
INFO 2025-05-26 19:11:46,414 basehttp 34 139873159812800 "GET /api/books/search/?q=supernatural HTTP/1.1" 200 11272
